Date,Confirmed_Cases
24-05-2021,6844
25-05-2021,6853
26-05-2021,6878
27-05-2021,6901
28-05-2021,6917
30-05-2021,6964
31-05-2021,6984
01-06-2021,7005
02-06-2021,7018
03-06-2021,7043
04-06-2021,7070
05-06-2021,7088
06-06-2021,7105
07-06-2021,7119
08-06-2021,7131
09-06-2021,7154
10-06-2021,7168
11-06-2021,7197
12-03-2020,1
13-03-2020,1
14-03-2020,1
15-03-2020,1
16-03-2020,1
17-03-2020,1
18-03-2020,1
19-03-2020,1
20-03-2020,2
21-03-2020,3
22-03-2020,5
23-03-2020,7
24-03-2020,7
25-03-2020,8
26-03-2020,11
27-03-2020,12
28-03-2020,14
29-03-2020,14
30-03-2020,19
31-03-2020,40
01-04-2020,83
02-04-2020,86
03-04-2020,132
04-04-2020,161
05-04-2020,161
06-04-2020,226
07-04-2020,266
08-04-2020,305
09-04-2020,348
10-04-2020,348
11-04-2020,363
12-04-2020,381
13-04-2020,427
14-04-2020,432
15-04-2020,483
16-04-2020,525
17-04-2020,534
18-04-2020,572
19-04-2020,603
20-04-2020,646
21-04-2020,722
22-04-2020,757
23-04-2020,813
24-04-2020,895
25-04-2020,955
26-04-2020,1061
27-04-2020,1097
28-04-2020,1183
29-04-2020,1259
30-04-2020,1332
01-05-2020,1403
02-05-2020,1463
03-05-2020,1525
04-05-2020,1583
05-05-2020,1650
06-05-2020,1717
07-05-2020,1777
08-05-2020,1847
09-05-2020,1887
10-05-2020,1930
11-05-2020,1980
12-05-2020,2018
13-05-2020,2090
14-05-2020,2137
15-05-2020,2205
16-05-2020,2307
17-05-2020,2355
18-05-2020,2407
19-05-2020,2474
20-05-2020,2532
21-05-2020,2602
22-05-2020,2647
23-05-2020,2709
24-05-2020,2757
25-05-2020,2823
26-05-2020,3110
27-05-2020,3171
28-05-2020,3171
29-05-2020,3251
30-05-2020,3436
31-05-2020,3569
01-06-2020,3679
02-06-2020,3783
03-06-2020,3898
04-06-2020,4080
05-06-2020,4223
06-06-2020,4303
07-06-2020,4510
08-06-2020,4708
09-06-2020,4851
10-06-2020,5070
11-06-2020,5269
12-06-2020,5429
13-06-2020,5680
14-06-2020,5965
15-06-2020,6163
16-06-2020,6456
17-06-2020,6841
18-06-2020,7071
19-06-2020,7518
20-06-2020,7961
21-06-2020,8452
22-06-2020,8999
23-06-2020,9372
24-06-2020,10002
25-06-2020,10331
26-06-2020,10884
27-06-2020,11489
28-06-2020,12285
29-06-2020,13241
30-06-2020,13891
01-07-2020,14595
02-07-2020,15252
03-07-2020,16097
04-07-2020,16934
05-07-2020,17699
06-07-2020,18697
07-07-2020,20019
08-07-2020,21197
09-07-2020,22259
10-07-2020,23814
11-07-2020,25422
12-07-2020,27235
13-07-2020,29168
14-07-2020,31103
15-07-2020,33019
16-07-2020,35451
17-07-2020,38044
18-07-2020,40646
19-07-2020,44609
20-07-2020,49650
21-07-2020,53724
22-07-2020,58668
23-07-2020,64713
24-07-2020,72711
25-07-2020,80858
26-07-2020,88671
27-07-2020,96298
28-07-2020,102349
29-07-2020,110297
30-07-2020,120390
31-07-2020,130557
01-08-2020,140933
02-08-2020,150209
03-08-2020,158764
04-08-2020,166586
05-08-2020,176333
06-08-2020,186461
07-08-2020,196789
08-08-2020,206960
09-08-2020,217040
10-08-2020,227860
11-08-2020,235525
12-08-2020,244549
13-08-2020,254146
14-08-2020,264142
15-08-2020,273085
16-08-2020,281817
17-08-2020,289829
18-08-2020,296609
19-08-2020,306261
20-08-2020,316003
21-08-2020,325396
22-08-2020,334940
23-08-2020,345216
24-08-2020,353111
25-08-2020,361712
26-08-2020,371639
27-08-2020,382469
28-08-2020,393090
29-08-2020,403616
30-08-2020,414164
31-08-2020,424767
01-09-2020,434771
02-09-2020,445139
03-09-2020,455531
04-09-2020,465730
05-09-2020,476506
06-09-2020,487331
07-09-2020,498125
08-09-2020,506493
09-09-2020,517094
10-09-2020,527512
11-09-2020,537687
12-09-2020,547686
13-09-2020,557587
14-09-2020,567123
15-09-2020,575079
16-09-2020,583925
17-09-2020,592760
18-09-2020,601462
19-09-2020,609558
20-09-2020,617776
21-09-2020,625514
22-09-2020,631749
23-09-2020,639302
24-09-2020,646530
25-09-2020,654385
26-09-2020,661458
27-09-2020,668751
28-09-2020,675674
29-09-2020,681161
30-09-2020,687351
01-10-2020,693484
02-10-2020,700235
03-10-2020,706790
04-10-2020,713014
05-10-2020,719256
06-10-2020,723512
07-10-2020,729307
08-10-2020,734427
09-10-2020,739719
10-10-2020,744864
11-10-2020,750517
12-10-2020,755727
13-10-2020,758951
14-10-2020,763573
15-10-2020,767465
16-10-2020,771503
17-10-2020,775470
18-10-2020,779146
19-10-2020,783132
20-10-2020,786050
21-10-2020,789553
22-10-2020,793299
23-10-2020,796919
24-10-2020,800684
25-10-2020,804026
26-10-2020,807023
27-10-2020,808924
28-10-2020,811825
29-10-2020,814774
30-10-2020,817679
31-10-2020,820565
01-11-2020,823348
02-11-2020,825966
03-11-2020,827882
04-11-2020,830731
05-11-2020,833208
06-11-2020,835953
07-11-2020,838363
08-11-2020,840730
09-11-2020,842967
10-11-2020,844359
11-11-2020,846245
12-11-2020,847977
13-11-2020,849705
14-11-2020,851298
15-11-2020,852955
16-11-2020,854011
17-11-2020,854764
18-11-2020,856159
19-11-2020,857395
20-11-2020,858711
21-11-2020,859932
22-11-2020,861092
23-11-2020,862213
24-11-2020,862758
25-11-2020,863843
26-11-2020,864674
27-11-2020,865705
28-11-2020,866438
29-11-2020,867063
30-11-2020,867683
01-12-2020,868064
02-12-2020,868749
03-12-2020,869412
04-12-2020,870076
05-12-2020,870675
06-12-2020,871305
07-12-2020,871972
08-12-2020,872288
09-12-2020,872839
10-12-2020,873457
11-12-2020,873995
12-12-2020,874515
13-12-2020,875025
14-12-2020,875531
15-12-2020,875836
17-12-2020,876814
18-12-2020,877348
19-12-2020,877806
20-12-2020,878285
21-12-2020,878723
22-12-2020,878937
23-12-2020,879339
24-12-2020,879718
25-12-2020,880075
26-12-2020,880430
27-12-2020,880712
28-12-2020,881061
29-12-2020,881273
30-12-2020,881599
31-12-2020,881948
03-01-2021,882850
04-01-2021,883082
05-01-2021,883210
06-01-2021,883587
07-01-2021,883876
08-01-2021,884171
09-01-2021,884490
10-01-2021,884689
11-01-2021,884916
12-01-2021,885037
13-01-2021,885234
14-01-2021,885437
15-01-2021,885616
16-01-2021,885710
17-01-2021,885824
18-01-2021,885985
19-01-2021,886066
20-01-2021,886245
21-01-2021,886418
22-01-2021,886557
23-01-2021,886694
24-01-2021,886852
25-01-2021,887010
27-01-2021,887238
28-01-2021,887349
29-01-2021,887466
30-01-2021,887591
31-01-2021,887720
01-02-2021,887836
02-02-2021,887900
03-02-2021,888004
04-02-2021,888099
05-02-2021,888178
06-02-2021,888275
07-02-2021,888350
08-02-2021,888423
09-02-2021,888485
10-02-2021,888555
11-02-2021,888605
12-02-2021,888692
13-02-2021,888760
14-02-2021,888814
15-02-2021,888869
16-02-2021,888899
17-02-2021,888959
18-02-2021,889010
19-02-2021,889077
20-02-2021,889156
21-02-2021,889210
22-02-2021,889298
23-02-2021,889339
24-02-2021,889409
25-02-2021,889503
26-02-2021,889585
27-02-2021,889681
01-03-2021,889916
02-03-2021,889974
03-03-2021,890080
04-03-2021,890215
06-03-2021,890441
07-03-2021,890556
08-03-2021,890692
09-03-2021,890766
10-03-2021,890884
11-03-2021,891004
13-03-2021,891388
14-03-2021,891563
15-03-2021,891861
16-03-2021,892008
17-03-2021,892269
18-03-2021,892522
19-03-2021,892740
20-03-2021,892986
21-03-2021,893366
22-03-2021,893734
23-03-2021,894044
24-03-2021,894536
25-03-2021,895121
27-03-2021,896863
28-03-2021,897810
29-03-2021,898815
30-03-2021,899812
31-03-2021,900805
01-04-2021,901989
02-04-2021,903260
03-04-2021,904548
04-04-2021,905946
05-04-2021,907676
